Date,Time,Receipt #,Drawer,Module,Debit/Credit,Pay Type,User,Batch#,House/Other,Payment Reference,Payment Reference 2,Amount
"01/01/2021","12:23pm","  2070147","5","PSS","C","  3","FD2","0","54148","av","","         10.00"
"01/01/2021","12:45pm","  2070154","5","PSS","C","  3","FD2","0","36539","av","","          6.00"
"01/01/2021","12:55pm","  2070159","5","PM","C","  3","FD2","0","8594","av","","         80.00"
"01/01/2021"," 3:08pm","  2070221","5","PSS","C","  3","FD3","0","16068","av","","         20.00"
"01/01/2021"," 5:27pm","  2070270","5","PSS","C","  3","FD2","0","THE HEIGHTS","JD","","         20.00"
"01/02/2021"," 9:48am","  2070385","5","PSS","C","  3","FD2","0","61218","JC","","         10.00"
"01/02/2021","10:08am","  2070401","5","PSS","C","  3","FD3","0","49526","cj","","         27.00"
"01/02/2021","10:40am","  2070416","5","PSS","C","  3","FD2","0","58283","JC","","         17.00"
"01/02/2021","10:44am","  2070418","5","PSS","C","  3","FD2","0","49880","JC","","         22.00"
"01/02/2021","10:47am","  2070420","5","PSS","C","  3","FD2","0","THE HEIGHTS","JC","","         20.00"
"01/02/2021","11:04am","  2070431","5","PSS","C","  3","FD2","0","THE HEIGHTS","JC","","         10.00"
"01/02/2021","11:23am","  2070444","5","PSS","C","  3","FD1","0","49526","cj","","         30.00"
"01/02/2021","11:24am","  2070445","5","PSS","C","  3","FD2","0","51231","JC","","         20.00"
"01/02/2021","11:40am","  2070453","5","PSS","C","  3","FD2","0","61538","JC","","         10.00"
"01/02/2021"," 1:01pm","  2070488","5","PSS","C","  3","FD3","0","53711","mr","","         10.00"
"01/02/2021"," 1:04pm","  2070486","5","PM","C","  3","FD2","0","57992","mm","","         10.00"
"01/02/2021"," 1:19pm","  2070505","5","PSS","C","  3","FD3","0","45683","mm","","         20.00"
"01/02/2021"," 1:26pm","  2070509","5","PSS","C","  3","FD1","0","61240","mr","","         20.00"
"01/02/2021"," 1:41pm","  2070522","5","PSS","C","  3","FD1","0","36539","mm","","          6.00"
"01/02/2021"," 2:01pm","  2070533","5","PM","C","  3","FD2","0","61611","mr","","        250.00"
"01/02/2021"," 2:01pm","  2070530","5","PM","C","  3","FD1","0","61610","mm","","        250.00"
"01/02/2021"," 2:28pm","  2070545","5","PSS","C","  3","FD2","0","36539","mm","","         10.00"
